incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,characteristics,notes,participant_gender,participant_age_group,role,status,age
2521029,2023-02-08,Virginia,Charlottesville,930 Harris St,0,1,0,0,1,Shot - Wounded/Injured; Bar/club incident - in or around establishment; Possession of gun by felon or prohibited person,"man shot in altercation at smoke and game room arrived at hospital; Brown sentenced 4 years, 2/2/24;",male,Adult 18+,victim,injured,NA
2521029,2023-02-08,Virginia,Charlottesville,930 Harris St,0,1,0,0,1,Shot - Wounded/Injured; Bar/club incident - in or around establishment; Possession of gun by felon or prohibited person,"man shot in altercation at smoke and game room arrived at hospital; Brown sentenced 4 years, 2/2/24;",male,40,suspect,unharmed,40
2513753,2023-01-28,Virginia,Charlottesville,1100 block of Grove St,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","shot multiple times in vehicle, dead at scene; life-sentence, 3/11/24",male,38,suspect,unharmed,38
2513753,2023-01-28,Virginia,Charlottesville,1100 block of Grove St,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Possession of gun by felon or prohibited person","shot multiple times in vehicle, dead at scene; life-sentence, 3/11/24",male,36,victim,killed,36
2511430,2023-01-24,Virginia,Charlottesville,400 block of Oak St,0,1,0,0,0,Shot - Wounded/Injured,woman shot,female,30,victim,injured,30
2510449,2023-01-23,Virginia,Charlottesville,6th St and Garrett St,0,1,0,0,0,Shot - Wounded/Injured,"downtown, teen shot moments before power outage, unclear if related",male,Teen 12-17,victim,injured,NA
2498555,2023-01-08,Virginia,Charlottesville,408 Monticello Rd,0,0,1,1,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator","felony abduction for pecuniary benefit; charges dropped 4-27-23 for Jose Omar Rivas Sorto, grabbed his wife’s kidnapper’s rifle as kidnapper fired in their direction and shot both kidnappers in self-defense and under duress",male,Adult 18+,suspect,injured,NA
2498555,2023-01-08,Virginia,Charlottesville,408 Monticello Rd,0,0,1,1,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator","felony abduction for pecuniary benefit; charges dropped 4-27-23 for Jose Omar Rivas Sorto, grabbed his wife’s kidnapper’s rifle as kidnapper fired in their direction and shot both kidnappers in self-defense and under duress",male,20,victim,killed,20
2498555,2023-01-08,Virginia,Charlottesville,408 Monticello Rd,0,0,1,1,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator","felony abduction for pecuniary benefit; charges dropped 4-27-23 for Jose Omar Rivas Sorto, grabbed his wife’s kidnapper’s rifle as kidnapper fired in their direction and shot both kidnappers in self-defense and under duress",male,22,suspect,unharmed,22
2484550,2022-12-19,Virginia,Charlottesville,2300 block of N Berkshire Road,0,1,0,0,0,Shot - Wounded/Injured,"Emmet St/Hydraulic Rd area, woman shot",female,Adult 18+,victim,injured,NA
2483654,2022-12-18,Virginia,Charlottesville,100 14th Street NW,0,1,0,0,1,"Shot - Wounded/Injured; Drive-by (car to street, car to car)","man shot after car pulled up amid fight at or outside restaurant, transport to UVA Medical Center; eight-year sentence, 10/10/23;",male,Adult 18+,victim,injured,NA
2483654,2022-12-18,Virginia,Charlottesville,100 14th Street NW,0,1,0,0,1,"Shot - Wounded/Injured; Drive-by (car to street, car to car)","man shot after car pulled up amid fight at or outside restaurant, transport to UVA Medical Center; eight-year sentence, 10/10/23;",male,28,suspect,unharmed,28
2474254,2022-12-03,Virginia,Charlottesville,800 block of W Main St,0,1,0,0,0,Shot - Wounded/Injured; Accidental Shooting - Injury; Accidental/Negligent Discharge; Self-Inflicted (not suicide or suicide attempt - NO PERP),"one shot, self-inflicted",NA,NA,victim,injured,NA
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",male,20,victim,killed,20
